x,y,GRID,GID,Lon,Lat
-121.5416678,38.29166711,1328,I01328,-121.542,38.292
-121.5416678,38.37500044,1329,I01329,-121.542,38.375
-121.5416678,38.45833377,1330,I01330,-121.542,38.458
-121.5416678,38.5416671,1331,I01331,-121.542,38.542
-121.5416678,38.62500043,1332,I01332,-121.542,38.625
-121.5416678,38.70833376,1333,I01333,-121.542,38.708
-121.5416678,38.79166709,1334,I01334,-121.542,38.792
-121.5416678,38.87500042,1335,I01335,-121.542,38.875
-121.5416678,38.95833375,1336,I01336,-121.542,38.958
-121.5416678,39.04166708,1337,I01337,-121.542,39.042
-121.5416678,39.12500041,1338,I01338,-121.542,39.125
-121.5416678,39.29166707,1340,I01340,-121.542,39.292
-121.4583345,37.7083338,1385,I01385,-121.458,37.708
-121.4583345,37.79166713,1386,I01386,-121.458,37.792
-121.4583345,37.87500046,1387,I01387,-121.458,37.875
-121.4583345,37.95833379,1388,I01388,-121.458,37.958
-121.4583345,38.20833378,1390,I01390,-121.458,38.208
-121.4583345,38.29166711,1391,I01391,-121.458,38.292
-121.4583345,38.37500044,1392,I01392,-121.458,38.375
-121.4583345,38.45833377,1393,I01393,-121.458,38.458
-121.4583345,38.62500043,1395,I01395,-121.458,38.625
-121.4583345,38.70833376,1396,I01396,-121.458,38.708
-121.4583345,38.79166709,1397,I01397,-121.458,38.792
-121.4583345,38.87500042,1398,I01398,-121.458,38.875
-121.4583345,38.95833375,1399,I01399,-121.458,38.958
-121.4583345,39.04166708,1400,I01400,-121.458,39.042
-121.4583345,39.12500041,1401,I01401,-121.458,39.125
-121.3750012,37.62500047,1446,I01446,-121.375,37.625
-121.3750012,37.7083338,1447,I01447,-121.375,37.708
-121.3750012,37.79166713,1448,I01448,-121.375,37.792
-121.3750012,37.87500046,1449,I01449,-121.375,37.875
-121.3750012,37.95833379,1450,I01450,-121.375,37.958
-121.3750012,38.20833378,1453,I01453,-121.375,38.208
-121.3750012,38.29166711,1454,I01454,-121.375,38.292
-121.3750012,38.37500044,1455,I01455,-121.375,38.375
-121.3750012,38.79166709,1460,I01460,-121.375,38.792
-121.3750012,38.87500042,1461,I01461,-121.375,38.875
-121.3750012,38.95833375,1462,I01462,-121.375,38.958
-121.2916679,37.54166714,1511,I01511,-121.292,37.542
-121.2916679,37.62500047,1512,I01512,-121.292,37.625
-121.2916679,37.7083338,1513,I01513,-121.292,37.708
-121.2916679,37.79166713,1514,I01514,-121.292,37.792
-121.2916679,37.87500046,1515,I01515,-121.292,37.875
-121.2916679,37.95833379,1516,I01516,-121.292,37.958
-121.2916679,38.04166712,1517,I01517,-121.292,38.042
-121.2916679,38.12500045,1518,I01518,-121.292,38.125
-121.2916679,38.20833378,1519,I01519,-121.292,38.208
-121.2916679,38.29166711,1520,I01520,-121.292,38.292
-121.2916679,38.37500044,1521,I01521,-121.292,38.375
-121.2916679,38.45833377,1522,I01522,-121.292,38.458
-121.2083346,37.45833381,1582,I01582,-121.208,37.458
-121.2083346,37.54166714,1583,I01583,-121.208,37.542
-121.2083346,37.62500047,1584,I01584,-121.208,37.625
-121.2083346,37.7083338,1585,I01585,-121.208,37.708
-121.2083346,37.79166713,1586,I01586,-121.208,37.792
-121.2083346,37.87500046,1587,I01587,-121.208,37.875
-121.2083346,37.95833379,1588,I01588,-121.208,37.958
-121.2083346,38.04166712,1589,I01589,-121.208,38.042
-121.2083346,38.12500045,1590,I01590,-121.208,38.125
-121.2083346,38.20833378,1591,I01591,-121.208,38.208
-121.2083346,38.29166711,1592,I01592,-121.208,38.292
-121.2083346,38.37500044,1593,I01593,-121.208,38.375
-121.2083346,38.45833377,1594,I01594,-121.208,38.458
-121.1250013,37.29166715,1643,I01643,-121.125,37.292
-121.1250013,37.37500048,1644,I01644,-121.125,37.375
-121.1250013,37.45833381,1645,I01645,-121.125,37.458
-121.1250013,37.54166714,1646,I01646,-121.125,37.542
-121.1250013,37.62500047,1647,I01647,-121.125,37.625
-121.1250013,37.7083338,1648,I01648,-121.125,37.708
-121.1250013,37.79166713,1649,I01649,-121.125,37.792
-121.1250013,37.87500046,1650,I01650,-121.125,37.875
-121.1250013,37.95833379,1651,I01651,-121.125,37.958
-121.1250013,38.04166712,1652,I01652,-121.125,38.042
-121.1250013,38.12500045,1653,I01653,-121.125,38.125
-121.1250013,38.20833378,1654,I01654,-121.125,38.208
-121.1250013,38.29166711,1655,I01655,-121.125,38.292
-121.1250013,38.45833377,1657,I01657,-121.125,38.458
-121.041668,37.04166716,1707,I01707,-121.042,37.042
-121.041668,37.12500049,1708,I01708,-121.042,37.125
-121.041668,37.20833382,1709,I01709,-121.042,37.208
-121.041668,37.29166715,1710,I01710,-121.042,37.292
-121.041668,37.37500048,1711,I01711,-121.042,37.375
-121.041668,37.45833381,1712,I01712,-121.042,37.458
-121.041668,37.54166714,1713,I01713,-121.042,37.542
-121.041668,37.62500047,1714,I01714,-121.042,37.625
-121.041668,37.7083338,1715,I01715,-121.042,37.708
-121.041668,37.79166713,1716,I01716,-121.042,37.792
-121.041668,37.87500046,1717,I01717,-121.042,37.875
-121.041668,37.95833379,1718,I01718,-121.042,37.958
-121.041668,38.04166712,1719,I01719,-121.042,38.042
-121.041668,38.20833378,1721,I01721,-121.042,38.208
-120.9583347,36.95833383,1769,I01769,-120.958,36.958
-120.9583347,37.04166716,1770,I01770,-120.958,37.042
-120.9583347,37.12500049,1771,I01771,-120.958,37.125
-120.9583347,37.20833382,1772,I01772,-120.958,37.208
-120.9583347,37.29166715,1773,I01773,-120.958,37.292
-120.9583347,37.37500048,1774,I01774,-120.958,37.375
-120.9583347,37.45833381,1775,I01775,-120.958,37.458
-120.9583347,37.54166714,1776,I01776,-120.958,37.542
-120.9583347,37.62500047,1777,I01777,-120.958,37.625
-120.9583347,37.7083338,1778,I01778,-120.958,37.708
-120.9583347,37.79166713,1779,I01779,-120.958,37.792
-120.9583347,37.87500046,1780,I01780,-120.958,37.875
-120.9583347,37.95833379,1781,I01781,-120.958,37.958
-120.9583347,38.04166712,1782,I01782,-120.958,38.042
-120.9583347,38.29166711,1784,I01784,-120.958,38.292
-120.8750014,36.95833383,1836,I01836,-120.875,36.958
-120.8750014,37.04166716,1837,I01837,-120.875,37.042
-120.8750014,37.12500049,1838,I01838,-120.875,37.125
-120.8750014,37.20833382,1839,I01839,-120.875,37.208
-120.8750014,37.29166715,1840,I01840,-120.875,37.292
-120.8750014,37.37500048,1841,I01841,-120.875,37.375
-120.8750014,37.45833381,1842,I01842,-120.875,37.458
-120.8750014,37.54166714,1843,I01843,-120.875,37.542
-120.8750014,37.62500047,1844,I01844,-120.875,37.625
-120.8750014,37.7083338,1845,I01845,-120.875,37.708
-120.8750014,37.79166713,1846,I01846,-120.875,37.792
-120.8750014,37.87500046,1847,I01847,-120.875,37.875
-120.8750014,37.95833379,1848,I01848,-120.875,37.958
-120.7916681,36.8750005,1901,I01901,-120.792,36.875
-120.7916681,36.95833383,1902,I01902,-120.792,36.958
-120.7916681,37.04166716,1903,I01903,-120.792,37.042
-120.7916681,37.12500049,1904,I01904,-120.792,37.125
-120.7916681,37.20833382,1905,I01905,-120.792,37.208
-120.7916681,37.29166715,1906,I01906,-120.792,37.292
-120.7916681,37.37500048,1907,I01907,-120.792,37.375
-120.7916681,37.45833381,1908,I01908,-120.792,37.458
-120.7916681,37.54166714,1909,I01909,-120.792,37.542
-120.7916681,37.62500047,1910,I01910,-120.792,37.625
-120.7916681,37.7083338,1911,I01911,-120.792,37.708
-120.7916681,37.79166713,1912,I01912,-120.792,37.792
-120.7083348,35.29166723,1962,I01962,-120.708,35.292
-120.7083348,36.79166717,1975,I01975,-120.708,36.792
-120.7083348,36.8750005,1976,I01976,-120.708,36.875
-120.7083348,36.95833383,1977,I01977,-120.708,36.958
-120.7083348,37.04166716,1978,I01978,-120.708,37.042
-120.7083348,37.12500049,1979,I01979,-120.708,37.125
-120.7083348,37.20833382,1980,I01980,-120.708,37.208
-120.7083348,37.29166715,1981,I01981,-120.708,37.292
-120.7083348,37.37500048,1982,I01982,-120.708,37.375
-120.7083348,37.45833381,1983,I01983,-120.708,37.458
-120.7083348,37.54166714,1984,I01984,-120.708,37.542
-120.7083348,37.62500047,1985,I01985,-120.708,37.625
-120.7083348,37.7083338,1986,I01986,-120.708,37.708
-120.6250015,36.70833384,2055,I02055,-120.625,36.708
-120.6250015,36.79166717,2056,I02056,-120.625,36.792
-120.6250015,36.8750005,2057,I02057,-120.625,36.875
-120.6250015,36.95833383,2058,I02058,-120.625,36.958
-120.6250015,37.04166716,2059,I02059,-120.625,37.042
-120.6250015,37.12500049,2060,I02060,-120.625,37.125
-120.6250015,37.20833382,2061,I02061,-120.625,37.208
-120.6250015,37.29166715,2062,I02062,-120.625,37.292
-120.6250015,37.37500048,2063,I02063,-120.625,37.375
-120.6250015,37.45833381,2064,I02064,-120.625,37.458
-120.6250015,37.54166714,2065,I02065,-120.625,37.542
-120.6250015,37.62500047,2066,I02066,-120.625,37.625
-120.6250015,37.7083338,2067,I02067,-120.625,37.708
-120.6250015,46.37500012,2107,I02107,-120.625,46.375
-120.6250015,46.70833344,2111,I02111,-120.625,46.708
-120.5416682,36.62500051,2130,I02130,-120.542,36.625
-120.5416682,36.70833384,2131,I02131,-120.542,36.708
-120.5416682,36.79166717,2132,I02132,-120.542,36.792
-120.5416682,36.8750005,2133,I02133,-120.542,36.875
-120.5416682,36.95833383,2134,I02134,-120.542,36.958
-120.5416682,37.04166716,2135,I02135,-120.542,37.042
-120.5416682,37.12500049,2136,I02136,-120.542,37.125
-120.5416682,37.20833382,2137,I02137,-120.542,37.208
-120.5416682,37.29166715,2138,I02138,-120.542,37.292
-120.5416682,37.37500048,2139,I02139,-120.542,37.375
-120.5416682,37.45833381,2140,I02140,-120.542,37.458
-120.5416682,37.54166714,2141,I02141,-120.542,37.542
-120.5416682,37.62500047,2142,I02142,-120.542,37.625
-120.5416682,46.29166679,2185,I02185,-120.542,46.292
-120.5416682,46.37500012,2186,I02186,-120.542,46.375
-120.5416682,46.45833345,2187,I02187,-120.542,46.458
-120.4583349,36.62500051,2215,I02215,-120.458,36.625
-120.4583349,36.70833384,2216,I02216,-120.458,36.708
-120.4583349,36.79166717,2217,I02217,-120.458,36.792
-120.4583349,36.8750005,2218,I02218,-120.458,36.875
-120.4583349,36.95833383,2219,I02219,-120.458,36.958
-120.4583349,37.04166716,2220,I02220,-120.458,37.042
-120.4583349,37.12500049,2221,I02221,-120.458,37.125
-120.4583349,37.20833382,2222,I02222,-120.458,37.208
-120.4583349,37.29166715,2223,I02223,-120.458,37.292
-120.4583349,37.37500048,2224,I02224,-120.458,37.375
-120.4583349,37.45833381,2225,I02225,-120.458,37.458
-120.4583349,46.29166679,2280,I02280,-120.458,46.292
-120.4583349,46.37500012,2281,I02281,-120.458,46.375
-120.4583349,46.45833345,2282,I02282,-120.458,46.458
-120.4583349,46.54166678,2283,I02283,-120.458,46.542
-120.3750016,36.70833384,2314,I02314,-120.375,36.708
-120.3750016,36.79166717,2315,I02315,-120.375,36.792
-120.3750016,36.8750005,2316,I02316,-120.375,36.875
-120.3750016,36.95833383,2317,I02317,-120.375,36.958
-120.3750016,37.04166716,2318,I02318,-120.375,37.042
-120.3750016,37.12500049,2319,I02319,-120.375,37.125
-120.3750016,37.20833382,2320,I02320,-120.375,37.208
-120.3750016,37.29166715,2321,I02321,-120.375,37.292
-120.3750016,37.45833381,2323,I02323,-120.375,37.458
-120.3750016,46.29166679,2370,I02370,-120.375,46.292
-120.3750016,46.37500012,2371,I02371,-120.375,46.375
-120.3750016,46.45833345,2372,I02372,-120.375,46.458
-120.3750016,46.54166678,2373,I02373,-120.375,46.542
-120.2916683,36.37500052,2396,I02396,-120.292,36.375
-120.2916683,36.62500051,2399,I02399,-120.292,36.625
-120.2916683,36.70833384,2400,I02400,-120.292,36.708
-120.2916683,36.79166717,2401,I02401,-120.292,36.792
-120.2916683,36.8750005,2402,I02402,-120.292,36.875
-120.2916683,36.95833383,2403,I02403,-120.292,36.958
-120.2916683,37.04166716,2404,I02404,-120.292,37.042
-120.2916683,37.12500049,2405,I02405,-120.292,37.125
-120.2916683,37.20833382,2406,I02406,-120.292,37.208
-120.2916683,37.29166715,2407,I02407,-120.292,37.292
-120.2916683,46.29166679,2453,I02453,-120.292,46.292
-120.2916683,46.37500012,2454,I02454,-120.292,46.375
-120.2916683,46.45833345,2455,I02455,-120.292,46.458
