p_QNLEACHgl,gridID,1 Irrigated,2 Rainfed
548 I03017,I03017,-8.45,-1.43
549 I03018,I03018,5.32,-5.13
550 I03037,I03037,8.27,-15.55
551 I03038,I03038,10.77,-9.19
552 I03039,I03039,22.21,-3.94
553 I03045,I03045,7.53,-15.29
554 I03046,I03046,-3.27,-15.37
555 I03047,I03047,-3.65,-8.58
556 I03048,I03048,-3.3,-9.67
557 I03049,I03049,2.61,-9.1
558 I03050,I03050,1.32,-9.58
559 I03051,I03051,1.86,-15.64
560 I03052,I03052,2.12,-8.86
561 I03075,I03075,0.26,-3.69
562 I03076,I03076,7.37,-47.59
563 I03077,I03077,-5.28,-2.91
564 I03078,I03078,-16.11,-2.45
565 I03079,I03079,-16.07,-2.52
566 I03080,I03080,-4.23,-6.4
567 I03081,I03081,6.84,-4.55
568 I03088,I03088,11.79,-24.48
569 I03089,I03089,6.66,-16.07
570 I03090,I03090,16.09,-27.87
571 I03091,I03091,-5.4,-4.01
572 I03092,I03092,4.84,-4.43
573 I03093,I03093,3.34,-4.39
574 I03094,I03094,10.6,-15.02
575 I03112,I03112,5.6,-16.84
576 I03113,I03113,9.82,-8.32
577 I03114,I03114,8.87,-14.39
578 I03115,I03115,8.41,-7.96
579 I03116,I03116,11.2,-1.38
580 I03119,I03119,6.57,-1.68
581 I03120,I03120,7.89,-1.59
582 I03121,I03121,-3.19,-17.43
583 I03122,I03122,-3.48,-4.08
584 I03123,I03123,-3.72,-45.76
585 I03124,I03124,-2.02,-45.81
586 I03125,I03125,-1.8,-9.05
587 I03126,I03126,1.58,-9.22
588 I03127,I03127,3.21,-10.41
589 I03128,I03128,3.61,-10.44
590 I03150,I03150,-11.56,0.23
591 I03151,I03151,5.51,-47.09
592 I03152,I03152,-12.49,-3.12
593 I03153,I03153,-12.53,-3.03
594 I03154,I03154,-11.57,-3.4
595 I03155,I03155,2.11,-45.58
596 I03156,I03156,5.05,-13.04
597 I03160,I03160,17.48,-47.77
598 I03161,I03161,9.05,-4.94
599 I03162,I03162,-8.14,-3.86
600 I03163,I03163,7.17,-3.85
601 I03164,I03164,4.56,-4.36
602 I03165,I03165,-0.78,-0.94
603 I03166,I03166,9.59,-2.35
604 I03167,I03167,17.51,-48.22
605 I03190,I03190,10.87,-8.87
606 I03191,I03191,9.77,-1.73
607 I03192,I03192,7.72,-9.1
608 I03193,I03193,8.48,-1.83
609 I03194,I03194,9.91,-9.01
610 I03196,I03196,17.39,-3.81
611 I03197,I03197,17.34,-4.2
612 I03198,I03198,10.65,-16.99
613 I03199,I03199,2.72,-14.12
614 I03200,I03200,-3.26,-2.12
615 I03201,I03201,-0.31,-2.94
616 I03202,I03202,-0.75,-4.98
617 I03203,I03203,1.84,-24.9
618 I03204,I03204,-2.38,-15.27
619 I03205,I03205,1.39,-8.4
620 I03206,I03206,2.11,-15.26
621 I03232,I03232,4.87,-46.68
622 I03233,I03233,-14.05,-4.83
623 I03234,I03234,-16.13,-2.59
624 I03235,I03235,-10.5,-3.56
625 I03236,I03236,5.88,-2.8
626 I03239,I03239,14.03,-4.53
627 I03241,I03241,13.12,-17.88
628 I03242,I03242,-2.17,-12.14
629 I03243,I03243,-5.53,-4
630 I03244,I03244,-8.09,-1.86
631 I03246,I03246,14.27,-1.55
632 I03247,I03247,6.93,-2.3
633 I03274,I03274,7.18,-16.6
634 I03275,I03275,21.5,-3.76
635 I03276,I03276,20.57,-15.48
636 I03277,I03277,6.51,-10.7
637 I03278,I03278,3.17,-13.29
638 I03279,I03279,11.91,-17.67
639 I03280,I03280,18.36,-15.96
640 I03281,I03281,11.08,-2.42
641 I03282,I03282,11.04,-5.53
642 I03283,I03283,10.36,-25.05
643 I03284,I03284,6.75,-19.58
644 I03285,I03285,2.75,-14.23
645 I03286,I03286,-3.17,-8.94
646 I03287,I03287,-0.83,-11.85
647 I03288,I03288,9.99,-25.05
648 I03289,I03289,-4.44,-15
649 I03290,I03290,3.36,-10.26
650 I03321,I03321,14.26,-3.49
651 I03322,I03322,-14.27,-2.55
652 I03323,I03323,-15.17,-2.44
653 I03324,I03324,-14.52,-1.79
654 I03325,I03325,-4.28,-1.69
655 I03327,I03327,1.18,-45.82
656 I03328,I03328,29.73,-4.56
657 I03331,I03331,14.88,-46.25
658 I03332,I03332,11.31,-3.33
659 I03333,I03333,7.4,-1.77
660 I03334,I03334,0.92,-2.19
661 I03335,I03335,1.24,-2.39
662 I03336,I03336,7.85,-1.88
663 I03344,I03344,-12.1,-3.88
664 I03358,I03358,6.02,-9.8
665 I03359,I03359,10.97,-1.47
666 I03361,I03361,14.15,-16.12
667 I03362,I03362,9.57,-1.39
668 I03363,I03363,4.87,-9.37
669 I03365,I03365,10.32,-2.55
